iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Temporal 	 Temporal_Mid_R 	 10.84 	 2.10 	 128 
	 Occipital 	 Lingual_L 	 10.25 	 1.93 	 57 

7	 Parietal 	 Parietal_Inf_R 	 70.35 	 3.05 	 242 
	 Parietal 	 Parietal_Inf_L 	 57.05 	 3.12 	 336 
	 Parietal 	 Parietal_Sup_L 	 39.58 	 2.54 	 171 
	 Parietal 	 SupraMarginal_R 	 35.49 	 2.63 	 170 
	 Parietal 	 Angular_R 	 33.49 	 2.53 	 140 
	 Parietal 	 Precuneus_R 	 25.14 	 2.39 	 178 
	 Frontal 	 Frontal_Mid_L 	 23.52 	 2.33 	 223 
	 Frontal 	 Precentral_L 	 23.10 	 2.24 	 158 
	 Limbic 	 Cingulum_Mid_L 	 20.31 	 2.33 	 106 
	 Parietal 	 SupraMarginal_L 	 19.87 	 2.30 	 60 
	 Occipital 	 Occipital_Sup_R 	 19.71 	 2.48 	 67 
	 Parietal 	 Precuneus_L 	 19.03 	 2.30 	 157 
	 Occipital 	 Occipital_Mid_R 	 18.77 	 2.11 	 98 
	 Frontal 	 Frontal_Mid_R 	 18.44 	 2.13 	 206 
	 Occipital 	 Occipital_Mid_L 	 17.10 	 2.70 	 145 
	 Parietel 	 Parietal_Sup_R 	 16.91 	 2.23 	 69 
	 Occipital 	 Occipital_Sup_L 	 15.89 	 2.86 	 48 
	 Parietal 	 Angular_L 	 15.89 	 2.83 	 48 
	 Occipital 	 Cuneus_R 	 15.52 	 2.26 	 61 
	 Temporal 	 Temporal_Inf_L 	 14.87 	 1.98 	 117 
	 Limbic 	 Cingulum_Mid_R 	 14.59 	 2.22 	 81 
	 Frontal 	 Frontal_Inf_Oper_R 	 14.51 	 1.93 	 47 
	 Frontal 	 Frontal_Sup_R 	 13.76 	 2.20 	 100 
	 Frontal 	 Supp_Motor_Area_R 	 13.24 	 2.05 	 63 
	 Limbic 	 Cingulum_Post_R 	 12.50 	 1.86 	 5 
	 Temporal 	 Temporal_Mid_L 	 11.49 	 2.01 	 140 
	 Parietal 	 Paracentral_Lobule_R 	 10.53 	 2.26 	 14 
	 Parietal 	 Postcentral_L 	 10.45 	 1.93 	 83 
	 Frontal 	 Precentral_R 	 10.43 	 1.96 	 73 

8	 Parietal 	 Parietal_Inf_L 	 59.25 	 2.43 	 349 
	 Parietal 	 Parietal_Inf_R 	 56.10 	 2.51 	 193 
	 Parietal 	 Angular_R 	 52.15 	 2.50 	 218 
	 Parietal 	 Parietal_Sup_L 	 42.59 	 2.32 	 184 
	 Parietal 	 Angular_L 	 39.74 	 2.47 	 120 
	 Occipital 	 Occipital_Mid_L 	 33.14 	 2.55 	 281 
	 Frontal 	 Frontal_Inf_Tri_L 	 33.07 	 2.08 	 167 
	 Limbic 	 Cingulum_Post_L 	 30.43 	 2.13 	 28 
	 Limbic 	 Cingulum_Post_R 	 30.00 	 2.29 	 12 
